Date,Facility,Energy_Usage_kWh,Cost_INR,Peak_Demand_kW,Carbon_Emission_kgCO2
2026-06-28,Corporate HQ - Tower A,1951.4,16001.16,108.4,1385.5
2026-06-28,North Distribution Center,2230.4,18289.49,122.1,1583.6
2026-06-28,Riverside Campus,2003.4,16427.86,112.5,1422.4
2026-06-29,Corporate HQ - Tower A,1895.0,15538.99,106.8,1345.4
2026-06-29,North Distribution Center,2165.8,17759.4,123.7,1537.7
2026-06-29,Riverside Campus,2157.0,17687.22,118.2,1531.5
2026-06-30,Corporate HQ - Tower A,1985.2,16278.33,107.9,1409.5
2026-06-30,North Distribution Center,2327.2,19083.19,133.3,1652.3
2026-06-30,Riverside Campus,1675.1,13735.76,95.0,1189.3
2026-07-01,Corporate HQ - Tower A,2109.4,17297.31,116.1,1497.7
2026-07-01,North Distribution Center,2171.2,17804.21,124.9,1541.6
2026-07-01,Riverside Campus,1974.9,16194.33,107.9,1402.2
2026-07-02,Corporate HQ - Tower A,2047.0,16785.43,114.4,1453.4
2026-07-02,North Distribution Center,1947.5,15969.37,107.2,1382.7
2026-07-02,Riverside Campus,2009.6,16478.98,110.7,1426.8
2026-07-03,Corporate HQ - Tower A,2107.4,17280.51,114.2,1496.2
2026-07-03,North Distribution Center,2391.9,19613.36,136.3,1698.2
2026-07-03,Riverside Campus,2002.3,16419.13,115.5,1421.7
2026-07-04,Corporate HQ - Tower A,1998.8,16390.16,113.5,1419.1
2026-07-04,North Distribution Center,2185.6,17921.99,119.7,1551.8
2026-07-04,Riverside Campus,2205.7,18086.48,123.1,1566.0
2026-07-05,Corporate HQ - Tower A,2168.7,17783.23,120.2,1539.8
2026-07-05,North Distribution Center,2215.7,18168.45,124.8,1573.1
2026-07-05,Riverside Campus,2190.8,17964.79,123.8,1555.5
2026-07-06,Corporate HQ - Tower A,2175.7,17841.1,121.3,1544.8
2026-07-06,North Distribution Center,2430.3,19928.72,134.0,1725.5
2026-07-06,Riverside Campus,2079.8,17054.75,119.3,1476.7
2026-07-07,Corporate HQ - Tower A,2160.4,17714.99,118.6,1533.9
2026-07-07,North Distribution Center,2302.6,18881.57,128.0,1634.9
2026-07-07,Riverside Campus,2024.1,16597.31,113.3,1437.1
2026-07-08,Corporate HQ - Tower A,2270.8,18620.68,125.1,1612.3
2026-07-08,North Distribution Center,2416.6,19816.17,135.8,1715.8
2026-07-08,Riverside Campus,2235.9,18334.33,125.8,1587.5
2026-07-09,Corporate HQ - Tower A,2242.0,18384.46,129.5,1591.8
2026-07-09,North Distribution Center,2250.3,18452.57,124.4,1597.7
2026-07-09,Riverside Campus,2219.7,18201.38,128.1,1576.0
2026-07-10,Corporate HQ - Tower A,2262.5,18552.33,128.0,1606.4
2026-07-10,North Distribution Center,2357.3,19330.12,130.2,1673.7
2026-07-10,Riverside Campus,2284.3,18730.86,128.4,1621.8
2026-07-11,Corporate HQ - Tower A,2383.4,19544.11,134.9,1692.2
2026-07-11,North Distribution Center,2711.3,22232.54,153.6,1925.0
2026-07-11,Riverside Campus,2355.9,19318.31,128.3,1672.7
2026-07-12,Corporate HQ - Tower A,2394.4,19634.38,134.9,1700.0
2026-07-12,North Distribution Center,2504.6,20537.7,140.1,1778.3
2026-07-12,Riverside Campus,2133.3,17492.88,122.7,1514.6
2026-07-13,Corporate HQ - Tower A,2385.6,19561.96,131.8,1693.8
2026-07-13,North Distribution Center,2546.0,20877.32,144.8,1807.7
2026-07-13,Riverside Campus,2684.4,22011.88,151.0,1905.9
2026-07-14,Corporate HQ - Tower A,2387.1,19574.33,132.4,1694.9
2026-07-14,North Distribution Center,2596.4,21290.34,146.3,1843.4
2026-07-14,Riverside Campus,2406.0,19729.46,135.6,1708.3
2026-07-15,Corporate HQ - Tower A,2287.1,18754.08,129.5,1623.8
2026-07-15,North Distribution Center,2714.5,22258.6,153.6,1927.3
2026-07-15,Riverside Campus,2517.6,20643.96,142.1,1787.5
2026-07-16,Corporate HQ - Tower A,2534.7,20784.9,144.5,1799.7
2026-07-16,North Distribution Center,2480.7,20341.69,139.8,1761.3
2026-07-16,Riverside Campus,2608.2,21386.88,149.1,1851.8
2026-07-17,Corporate HQ - Tower A,2279.2,18689.51,128.8,1618.2
2026-07-17,North Distribution Center,2667.9,21876.4,147.7,1894.2
2026-07-17,Riverside Campus,2710.3,22224.34,151.1,1924.3
2026-07-18,Corporate HQ - Tower A,2331.1,19115.31,131.1,1655.1
2026-07-18,North Distribution Center,2532.0,20762.76,143.5,1797.8
2026-07-18,Riverside Campus,2462.0,20188.06,134.5,1748.0
2026-07-19,Corporate HQ - Tower A,2387.1,19573.88,132.0,1694.8
2026-07-19,North Distribution Center,2411.4,19773.45,136.9,1712.1
2026-07-19,Riverside Campus,2455.7,20136.77,134.8,1743.5
2026-07-20,Corporate HQ - Tower A,2312.4,18961.95,126.5,1641.8
2026-07-20,North Distribution Center,2646.7,21703.27,148.4,1879.2
2026-07-20,Riverside Campus,2329.6,19102.55,134.2,1654.0
2026-07-21,Corporate HQ - Tower A,2613.4,21430.27,146.4,1855.5
2026-07-21,North Distribution Center,2483.5,20364.42,142.3,1763.3
2026-07-21,Riverside Campus,2388.8,19588.23,136.4,1696.1
2026-07-22,Corporate HQ - Tower A,2508.0,20565.52,138.4,1780.7
2026-07-22,North Distribution Center,2412.7,19783.85,137.6,1713.0
2026-07-22,Riverside Campus,2437.7,19988.84,136.3,1730.7
2026-07-23,Corporate HQ - Tower A,2545.9,20875.98,144.9,1807.6
2026-07-23,North Distribution Center,2346.1,19237.99,133.3,1665.7
2026-07-23,Riverside Campus,2411.1,19771.43,133.7,1711.9
2026-07-24,Corporate HQ - Tower A,2395.0,19638.63,131.0,1700.4
2026-07-24,North Distribution Center,2607.6,21382.22,149.6,1851.4
2026-07-24,Riverside Campus,2215.3,18165.75,121.2,1572.9
2026-07-25,Corporate HQ - Tower A,2176.8,17849.38,125.7,1545.5
2026-07-25,North Distribution Center,2547.8,20892.3,145.4,1809.0
2026-07-25,Riverside Campus,2370.8,19440.94,134.5,1683.3
2026-07-26,Corporate HQ - Tower A,2334.0,19138.41,134.5,1657.1
2026-07-26,North Distribution Center,2495.5,20462.83,143.4,1771.8
2026-07-26,Riverside Campus,2222.3,18222.78,126.9,1577.8
2026-07-27,Corporate HQ - Tower A,2298.3,18846.32,127.6,1631.8
2026-07-27,North Distribution Center,2455.6,20136.16,139.7,1743.5
2026-07-27,Riverside Campus,2184.7,17914.86,118.5,1551.2
2026-07-28,Corporate HQ - Tower A,2459.5,20167.78,137.9,1746.2
2026-07-28,North Distribution Center,2442.5,20028.11,136.3,1734.1
2026-07-28,Riverside Campus,2092.6,17159.62,118.6,1485.8
